org_id remap_id
film.award_nomination.film 0
film.film.award_nomination 1
film.actor.film 2
film.film.actor 3
film.award_won.film 4
film.film.award_won 5
film.cinematographer.film 6
film.film.cinematography 7
film.content_rating.film 8
film.film.rating 9
film.director.film 10
film.film.directed_by 11
film.editor.film 12
film.film.edited_by 13
film.film.costume_design_by 14
film.film_costumer_designer.costume_design_for_film 15
film.film.country 16
film.film.executive_produced_by 17
film.producer.films_executive_produced 18
film.film.film_art_direction_by 19
film.film_art_director.films_art_directed 20
film.film.film_casting_director 21
film.film_casting_director.films_casting_directed 22
film.film.film_festivals 23
film.film_festival_event.films 24
film.film.film_production_design_by 25
film.film_production_designer.films_production_designed 26
film.film.film_set_decoration_by 27
film.film_set_designer.film_sets_designed 28
film.film.genre 29
film.film_genre.films_in_this_genre 30
film.film.language 31
film.film.music 32
film.music_contributor.film 33
film.film.prequel 34
film.film.sequel 35
film.film.produced_by 36
film.producer.film 37
film.film.production_companies 38
film.production_company.films 39
film.film.soundtrack 40
music.soundtrack.film 41
film.film.story_by 42
film.film.subjects 43
film.film_subject.films 44
film.film.written_by 45
film.writer.film 46
media_common.adaptation.adapted_from 47
media_common.adapted_work.adaptations 48
